Playlist Link,Track URL,Source,Collection
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/2WEdPPXX4MFvUbbKqxtvYp?si=686e71cdc3b84774,Shae Brock,"54,976"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/7cVuyuuDVhUwc17cdsluNI?si=913543b41a944d4e,Who Nex Music,"50,404"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/3lm9dmsjeVnTmuv16lMY1r?si=11e819f1707e4353,Elizabritz,"14,715"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/3NqZ5qkXdhHEeXtH68IObM?si=1215fd81417449af,FREE.99,
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/5kRixEuIsc1phIRAj8OIyE?si=a62be96c0955454d,FREE.99,"5,092"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/7MC84xxMxGC3eksqB8ecLD?si=94370252b05b44ed,Big Bankkz Ent,"87,223"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/4es8IKXhtwtq72KvRh05b1?si=4e70068feab64743,THE DAY WILL COME,"215,555"
,,,
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/7MC84xxMxGC3eksqB8ecLD?si=cd2ee93bccff4ab7,Big Bankkz Ent,"87,223"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/4ps3Qy0k3EQlPeVp4Co4vK?si=d28f31c1de00492b,MikeBrew,"2,208"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/1dTbqVv31gN8bopB1s4Y1W?si=6a4fa7e5259f417a,Jaydon Pohio,
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/7cZUZB7Spo2CdGJMLBUIIA?si=a7fb2bda454e421f,New Horizons Label,"148,744"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/1eXNWfQBg4toM8LcM0VE10?si=af9f6ae4cc3e4afe,Siren Productions,"25,146"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/3iQBlVDdfTRJTF9NdAE2Om?si=ed34be50ae554bb6,goodboy noah,"25,275"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/6dqENHGiOE8fZP6CoaFTt1?si=67f166adf6c14f94,Fluorescent Rain Records,"36,527"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/2hw0G2FOrXdd22TMwGvIAF?si=a9ec7c67f1b4441b,Abu Recordings,"4,753"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/5zeMnXrvnJH6cVLtexR74S?si=cb049128e8b64157,Royal Target,"24,831"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/1O1OOYxK8BqgTYENpj3cE2?si=3021e13643e34355,Rockshots Records,"75,323"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/6s8Lr8JPVbpnqVj8WdiCbv?si=1765ddeb587e4008,LOST PACIFIC music,"31,686"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/1C69dPStVzQhWWo5CbIEHO?si=3c99e013e68c4f8b,Floyd,"25,269"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/3nT731QXaKuwz0wObzQLPG?si=9ca3f1e0e09745bf,Isotopes Music,"437,030"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/7p2VRFs3ZvrcpvD10n6zwP?si=46fa51576fdc4fbc,Floyd,"25,154"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/3lnmCyvR0DiVvSrRrzPaqM?si=dcf8eebdb3e54006,Isotopes Music,"31,704"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/2ZK8hzFUoKJVk7JPchM4KV?si=b8ed6ce38e4c4bb8,Floyd,"24,647"
